,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
0,LP001015,Male,Yes,0,Graduate,No,5720.0,0.0,110.0,360,1,Urban
1,LP001022,Male,Yes,1,Graduate,No,3076.0,1500.0,126.0,360,1,Urban
2,LP001031,Male,Yes,2,Graduate,No,5000.0,1800.0,208.0,360,1,Urban
3,LP001035,Male,Yes,2,Graduate,No,2340.0,2546.0,100.0,360,,Urban
4,LP001051,Male,No,0,Not Graduate,No,3276.0,0.0,78.0,360,1,Urban
5,LP001054,Male,Yes,0,Not Graduate,Yes,2165.0,3422.0,152.0,360,1,Urban
6,LP001055,Female,No,1,Not Graduate,No,2226.0,0.0,59.0,360,1,Semiurban
7,LP001056,Male,Yes,2,Not Graduate,No,3881.0,0.0,147.0,360,0,Rural
8,LP001059,Male,Yes,2,Graduate,,13633.0,0.0,280.0,240,1,Urban
9,LP001067,Male,No,0,Not Graduate,No,2400.0,2400.0,123.0,360,1,Semiurban
10,LP001078,Male,No,0,Not Graduate,No,3091.0,0.0,90.0,360,1,Urban
11,LP001082,Male,Yes,1,Graduate,,2185.0,1516.0,162.0,360,1,Semiurban
12,LP001083,Male,No,3+,Graduate,No,4166.0,0.0,40.0,180,,Urban
13,LP001094,Male,Yes,2,Graduate,,12173.0,0.0,166.0,360,0,Semiurban
14,LP001096,Female,No,0,Graduate,No,4666.0,0.0,124.0,360,1,Semiurban
15,LP001099,Male,No,1,Graduate,No,5667.0,0.0,131.0,360,1,Urban
16,LP001105,Male,Yes,2,Graduate,No,4583.0,2916.0,200.0,360,1,Urban
17,LP001107,Male,Yes,3+,Graduate,No,3786.0,333.0,126.0,360,1,Semiurban
18,LP001108,Male,Yes,0,Graduate,No,9226.0,7916.0,300.0,360,1,Urban
19,LP001115,Male,No,0,Graduate,No,1300.0,3470.0,100.0,180,1,Semiurban
20,LP001121,Male,Yes,1,Not Graduate,No,1888.0,1620.0,48.0,360,1,Urban
21,LP001124,Female,No,3+,Not Graduate,No,2083.0,0.0,28.0,180,1,Urban
22,LP001128,Unknown,No,0,Graduate,No,3909.0,0.0,101.0,360,1,Urban
23,LP001135,Female,No,0,Not Graduate,No,3765.0,0.0,125.0,360,1,Urban
24,LP001149,Male,Yes,0,Graduate,No,5400.0,4380.0,290.0,360,1,Urban
25,LP001153,Male,No,0,Graduate,No,0.0,24000.0,148.0,360,0,Rural
26,LP001163,Male,Yes,2,Graduate,No,4363.0,1250.0,140.0,360,,Urban
27,LP001169,Male,Yes,0,Graduate,No,7500.0,3750.0,275.0,360,1,Urban
28,LP001174,Male,Yes,0,Graduate,No,3772.0,833.0,57.0,360,,Semiurban
29,LP001176,Male,No,0,Graduate,No,2942.0,2382.0,125.0,180,1,Urban
30,LP001177,Female,No,0,Not Graduate,No,2478.0,0.0,75.0,360,1,Semiurban
31,LP001183,Male,Yes,2,Graduate,No,6250.0,820.0,192.0,360,1,Urban
32,LP001185,Male,No,0,Graduate,No,3268.0,1683.0,152.0,360,1,Semiurban
33,LP001187,Male,Yes,0,Graduate,No,2783.0,2708.0,158.0,360,1,Urban
34,LP001190,Male,Yes,0,Graduate,No,2740.0,1541.0,101.0,360,1,Urban
35,LP001203,Male,No,0,Graduate,No,3150.0,0.0,176.0,360,0,Semiurban
36,LP001208,Male,Yes,2,Graduate,,7350.0,4029.0,185.0,180,1,Urban
37,LP001210,Male,Yes,0,Graduate,Yes,2267.0,2792.0,90.0,360,1,Urban
38,LP001211,Male,No,0,Graduate,Yes,5833.0,0.0,116.0,360,1,Urban
39,LP001219,Male,No,0,Graduate,No,3643.0,1963.0,138.0,360,1,Urban
40,LP001220,Male,Yes,0,Graduate,No,5629.0,818.0,100.0,360,1,Urban
41,LP001221,Female,No,0,Graduate,No,3644.0,0.0,110.0,360,1,Urban
42,LP001226,Male,Yes,0,Not Graduate,No,1750.0,2024.0,90.0,360,1,Semiurban
43,LP001230,Male,No,0,Graduate,No,6500.0,2600.0,200.0,360,1,Semiurban
44,LP001231,Female,No,0,Graduate,No,3666.0,0.0,84.0,360,1,Urban
45,LP001232,Male,Yes,0,Graduate,No,4260.0,3900.0,185.0,,,Urban
46,LP001237,Male,Yes,,Not Graduate,No,4163.0,1475.0,162.0,360,1,Urban
47,LP001242,Male,No,0,Not Graduate,No,2356.0,1902.0,108.0,360,1,Semiurban
48,LP001268,Male,No,0,Graduate,No,6792.0,3338.0,187.0,,1,Urban
49,LP001270,Male,Yes,3+,Not Graduate,Yes,8000.0,250.0,187.0,360,1,Semiurban
50,LP001284,Male,Yes,1,Graduate,No,2419.0,1707.0,124.0,360,1,Urban
51,LP001287,Unknown,Yes,3+,Not Graduate,No,3500.0,833.0,120.0,360,1,Semiurban
52,LP001291,Male,Yes,1,Graduate,No,3500.0,3077.0,160.0,360,1,Semiurban
53,LP001298,Male,Yes,2,Graduate,No,4116.0,1000.0,30.0,180,1,Urban
54,LP001312,Male,Yes,0,Not Graduate,Yes,5293.0,0.0,92.0,360,1,Urban
